Front,Back,Extra
倭の奴国王が後漢に使いを送る,57,
卑弥呼が魏に使いを送る,239,
仏教伝来,538,
聖徳太子が摂政になる,593,
冠位十二階,603,
十七条の憲法,604,
遣隋使（小野妹子）,607,
第1回遣唐使,630,
大化の改新,645,
白村江の戦い,663,
壬申の乱,672,
藤原京遷都,694,
大宝律令,701,
和同開珎,708,
平城京遷都,710,
『古事記』成立,712,
『日本書紀』成立,720,
三世一身の法,723,
国分寺・国分尼寺建立の詔,741,
墾田永年私財法／大仏造立の詔,743,
東大寺大仏完成,752,
平安京遷都,794,
遣唐使停止,894,
古今和歌集編纂開始,905,
平将門の乱・藤原純友の乱,939,
尾張国郡司百姓等訴状（尾張国司の訴え）,988,
藤原道長が摂政となる,1016,
前九年合戦,1053,
後三年合戦,1083,
白河上皇の院政開始,1086,
保元の乱,1156,
平治の乱,1159,
平清盛が武士として初の太政大臣,1167,
源頼朝が挙兵（石橋山）,1180,
壇ノ浦の戦い,1185,
守護・地頭の設置,1185,
源頼朝が征夷大将軍となる,1192,
承久の乱,1221,
御成敗式目,1232,
文永の役,1274,
弘安の役,1281,
永仁の徳政令,1297,
鎌倉幕府滅亡,1333,
建武の新政,1334,
南北朝の動乱始まる,1336,
室町幕府成立,1338,
南北朝合一,1392,
勘合貿易開始,1404,
正長の土一揆,1428,
応仁の乱,1467,
山城の国一揆,1485,
鉄砲伝来,1543,
キリスト教伝来,1549,
桶狭間の戦い,1560,
室町幕府滅亡,1573,
長篠の戦い,1575,
本能寺の変,1582,
太閤検地開始,1582,
刀狩令,1588,
豊臣秀吉が全国統一,1590,
文禄の役,1592,
慶長の役,1597,
関ヶ原の戦い,1600,
江戸幕府成立,1603,
大阪夏の陣,1615,
武家諸法度（元和令）,1615,
参勤交代制度化,1635,
島原・天草一揆,1637,
ポルトガル船来航禁止（鎖国完成）,1639,
生類憐みの令,1685,
天明の飢饉,1783,
フェートン号事件,1808,
異国船打払令,1825,
大塩平八郎の乱,1837,
アヘン戦争,1840,
ペリーの浦賀来航,1853,
日米和親条約（開国）,1854,
日米修好通商条約,1858,
安政の大獄,1858,
桜田門外の変,1860,
生麦事件,1862,
薩英戦争,1863,
薩長同盟,1866,
大政奉還,1867,
王政復古の大号令,1868,
戊辰戦争／五箇条の御誓文,1868,
版籍奉還,1869,
郵便制度の導入,1871,
廃藩置県,1871,
学制・鉄道開通,1872,
富岡製糸場開業,1872,
徴兵令,1873,
地租改正,1873,
民撰議院設立の建白書,1874,
樺太・千島交換条約,1875,
西南戦争,1877,
秩父事件,1884,
内閣制度創設,1885,
ノルマントン号事件,1886,
大日本帝国憲法発布,1889,
第一回衆議院議員総選挙／帝国議会開会,1890,
領事裁判権撤廃,1894,
日清戦争,1894,
下関条約／三国干渉,1895,
八幡製鉄所開業,1901,
日英同盟,1902,
日露戦争,1904,
ポーツマス条約,1905,
韓国併合,1910,
関税自主権の回復（条約改正完了）,1911,
大正元年／中華民国成立,1912,
第一次世界大戦,1914,
対華二十一か条要求,1915,
ロシア革命,1917,
米騒動,1918,
ベルサイユ条約／三・一独立運動,1919,
国際連盟設立,1920,
ソ連成立,1922,
関東大震災,1923,
ラジオ放送開始,1925,
治安維持法・普通選挙法,1925,
昭和元年,1926,
世界恐慌,1929,
満州事変,1931,
五・一五事件,1932,
国際連盟脱退通告,1933,
二・二六事件,1936,
日中戦争,1937,
国家総動員法,1938,
第二次世界大戦,1939,
日独伊三国同盟,1940,
太平洋戦争開戦,1941,
ポツダム宣言受諾（終戦）,1945,
日本国憲法公布,1946,
日本国憲法施行,1947,
朝鮮戦争／警察予備隊設置,1950,
サンフランシスコ平和条約／日米安全保障条約,1951,
第五福竜丸事件／自衛隊発足,1954,
自由民主党結成,1955,
日ソ共同宣言／国連加盟,1956,
日米新安保条約／国民所得倍増計画,1960,
東海道新幹線開業／東京オリンピック,1964,
日韓基本条約,1965,
公害対策基本法,1967,
環境庁設置,1971,
沖縄本土復帰／日中共同声明,1972,
第一次石油危機,1973,
日中平和友好条約,1978,
平成元年／消費税導入,1989,
牛肉・オレンジ自由化／ソ連解体,1991,
PKO協力法,1992,
環境基本法,1993,
阪神・淡路大震災,1995,
アメリカ同時多発テロ,2001,
東日本大震災,2011,
令和元年／消費税10%,2019,
